dataset,publishTime,startTime,settlementDate,settlementPeriod,fuelType,generation
FUELHH,2022-05-07T23:00:00Z,2022-05-07T22:30:00Z,2022-05-08,48,PS,84
FUELHH,2022-05-07T23:00:00Z,2022-05-07T22:30:00Z,2022-05-08,48,WIND,3059
FUELHH,2022-05-07T22:30:00Z,2022-05-07T22:00:00Z,2022-05-07,47,BIOMASS,475
FUELHH,2022-05-07T22:30:00Z,2022-05-07T22:00:00Z,2022-05-07,47,CCGT,16559
FUELHH,2022-05-07T22:30:00Z,2022-05-07T22:00:00Z,2022-05-07,47,COAL,0
FUELHH,2022-05-07T22:30:00Z,2022-05-07T22:00:00Z,2022-05-07,47,INTELEC,0
FUELHH,2022-05-07T22:30:00Z,2022-05-07T22:00:00Z,2022-05-07,47,INTEW,0
FUELHH,2022-05-07T22:30:00Z,2022-05-07T22:00:00Z,2022-05-07,47,INTFR,-490
FUELHH,2022-05-07T22:30:00Z,2022-05-07T22:00:00Z,2022-05-07,47,INTIFA2,-790
FUELHH,2022-05-07T22:30:00Z,2022-05-07T22:00:00Z,2022-05-07,47,INTIRL,386
FUELHH,2022-05-07T22:30:00Z,2022-05-07T22:00:00Z,2022-05-07,47,INTNED,-618
FUELHH,2022-05-07T22:30:00Z,2022-05-07T22:00:00Z,2022-05-07,47,INTNEM,-780
FUELHH,2022-05-07T22:30:00Z,2022-05-07T22:00:00Z,2022-05-07,47,INTNSL,-168
FUELHH,2022-05-07T22:30:00Z,2022-05-07T22:00:00Z,2022-05-07,47,NPSHYD,264
FUELHH,2022-05-07T22:30:00Z,2022-05-07T22:00:00Z,2022-05-07,47,NUCLEAR,5289
FUELHH,2022-05-07T22:30:00Z,2022-05-07T22:00:00Z,2022-05-07,47,OCGT,2
FUELHH,2022-05-07T22:30:00Z,2022-05-07T22:00:00Z,2022-05-07,47,OIL,0
FUELHH,2022-05-07T22:30:00Z,2022-05-07T22:00:00Z,2022-05-07,47,OTHER,276
FUELHH,2022-05-07T22:30:00Z,2022-05-07T22:00:00Z,2022-05-07,47,PS,10
FUELHH,2022-05-07T22:30:00Z,2022-05-07T22:00:00Z,2022-05-07,47,WIND,2963
FUELHH,2022-05-07T22:00:00Z,2022-05-07T21:30:00Z,2022-05-07,46,BIOMASS,533
FUELHH,2022-05-07T22:00:00Z,2022-05-07T21:30:00Z,2022-05-07,46,CCGT,17901
FUELHH,2022-05-07T22:00:00Z,2022-05-07T21:30:00Z,2022-05-07,46,COAL,0
FUELHH,2022-05-07T22:00:00Z,2022-05-07T21:30:00Z,2022-05-07,46,INTELEC,0
FUELHH,2022-05-07T22:00:00Z,2022-05-07T21:30:00Z,2022-05-07,46,INTEW,0
FUELHH,2022-05-07T22:00:00Z,2022-05-07T21:30:00Z,2022-05-07,46,INTFR,-276
FUELHH,2022-05-07T22:00:00Z,2022-05-07T21:30:00Z,2022-05-07,46,INTIFA2,-712
FUELHH,2022-05-07T22:00:00Z,2022-05-07T21:30:00Z,2022-05-07,46,INTIRL,340
FUELHH,2022-05-07T22:00:00Z,2022-05-07T21:30:00Z,2022-05-07,46,INTNED,-698
FUELHH,2022-05-07T22:00:00Z,2022-05-07T21:30:00Z,2022-05-07,46,INTNEM,-918
FUELHH,2022-05-07T22:00:00Z,2022-05-07T21:30:00Z,2022-05-07,46,INTNSL,-584
FUELHH,2022-05-07T22:00:00Z,2022-05-07T21:30:00Z,2022-05-07,46,NPSHYD,307
FUELHH,2022-05-07T22:00:00Z,2022-05-07T21:30:00Z,2022-05-07,46,NUCLEAR,5298
FUELHH,2022-05-07T22:00:00Z,2022-05-07T21:30:00Z,2022-05-07,46,OCGT,2
FUELHH,2022-05-07T22:00:00Z,2022-05-07T21:30:00Z,2022-05-07,46,OIL,0
FUELHH,2022-05-07T22:00:00Z,2022-05-07T21:30:00Z,2022-05-07,46,OTHER,376
FUELHH,2022-05-07T22:00:00Z,2022-05-07T21:30:00Z,2022-05-07,46,PS,102
FUELHH,2022-05-07T22:00:00Z,2022-05-07T21:30:00Z,2022-05-07,46,WIND,2895
FUELHH,2022-05-07T21:30:00Z,2022-05-07T21:00:00Z,2022-05-07,45,BIOMASS,770
FUELHH,2022-05-07T21:30:00Z,2022-05-07T21:00:00Z,2022-05-07,45,CCGT,18105
FUELHH,2022-05-07T21:30:00Z,2022-05-07T21:00:00Z,2022-05-07,45,COAL,0
FUELHH,2022-05-07T21:30:00Z,2022-05-07T21:00:00Z,2022-05-07,45,INTELEC,0
FUELHH,2022-05-07T21:30:00Z,2022-05-07T21:00:00Z,2022-05-07,45,INTEW,0
FUELHH,2022-05-07T21:30:00Z,2022-05-07T21:00:00Z,2022-05-07,45,INTFR,-284
FUELHH,2022-05-07T21:30:00Z,2022-05-07T21:00:00Z,2022-05-07,45,INTIFA2,-718
FUELHH,2022-05-07T21:30:00Z,2022-05-07T21:00:00Z,2022-05-07,45,INTIRL,202
FUELHH,2022-05-07T21:30:00Z,2022-05-07T21:00:00Z,2022-05-07,45,INTNED,-698
FUELHH,2022-05-07T21:30:00Z,2022-05-07T21:00:00Z,2022-05-07,45,INTNEM,-918
FUELHH,2022-05-07T21:30:00Z,2022-05-07T21:00:00Z,2022-05-07,45,INTNSL,-556
FUELHH,2022-05-07T21:30:00Z,2022-05-07T21:00:00Z,2022-05-07,45,NPSHYD,309
FUELHH,2022-05-07T21:30:00Z,2022-05-07T21:00:00Z,2022-05-07,45,NUCLEAR,5288
FUELHH,2022-05-07T21:30:00Z,2022-05-07T21:00:00Z,2022-05-07,45,OCGT,26
FUELHH,2022-05-07T21:30:00Z,2022-05-07T21:00:00Z,2022-05-07,45,OIL,0
